city,province,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,availability_date,smoking,cats,dogs
Beaumont,Alberta,53.362737,-113.437809,Long Term,Apartment,1588,1,1,576,Unfurnished,2025-08-01,Non-Smoking,True,True
Beaumont,Alberta,53.372185134875,-113.411554123279,Long Term,Main Floor,2250,3,2.5,1477,Unfurnished,2025-07-01,Non-Smoking,True,True
Beaumont,Alberta,53.3650399,-113.4369784,Long Term,Main Floor,1075,1,1,700,Unfurnished,2025-07-01,Non-Smoking,True,True
Beaumont,Alberta,53.363901,-113.438616,Long Term,Townhouse,1998,3,1.5,1236,Unfurnished,2025-08-01,Non-Smoking,True,True
Beaumont,Alberta,53.341026,-113.417064,Long Term,Townhouse,1965,2,2.5,1300,Unfurnished,2025-08-01,Non-Smoking,False,True
Beaumont,Alberta,53.3494129,-113.4381854,Long Term,Townhouse,2100,3,2.5,1369,Unfurnished,2025-08-15,Non-Smoking,True,True
Beaumont,Alberta,53.3575311,-113.4296658,Long Term,Main Floor,1950,3,2.5,1400,Unfurnished,2025-09-01,Non-Smoking,False,True
Beaumont,Alberta,53.3516784,-113.3931892,Long Term,House,1800,3,2.5,1400,Unfurnished,2025-09-01,Non-Smoking,False,False
Beiseker,Alberta,51.3824065,-113.5330306,Long Term,Apartment,950,1,1,750,Unfurnished,2025-02-21,Non-Smoking,True,True
Beiseker,Alberta,51.3824065,-113.5330306,Long Term,Apartment,1150,2,1,850,Unfurnished,2025-02-21,Non-Smoking,True,True
Black Diamond,Alberta,50.6867451,-114.2291888,Long Term,Apartment,1150,1,1,605,Unfurnished,2025-07-01,Non-Smoking,False,False
Blackfalds,Alberta,52.391158620937,-113.811946085181,Long Term,Townhouse,2425,4,3.5,1240,Unfurnished,2025-06-15,Non-Smoking,False,False
Blackfalds,Alberta,52.375948,-113.7695063,Long Term,Basement,1400,1,1,780,Furnished,2025-07-01,Non-Smoking,False,False
Blackfalds,Alberta,52.3761465,-113.7663602,Long Term,House,2470,3,2,1272,Unfurnished,2025-08-01,Non-Smoking,True,True
Bonnyville,Alberta,54.2638813,-110.7230958,Long Term,Apartment,875,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.2638813,-110.7230958,Long Term,Apartment,875,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.267838,-110.718213,Long Term,Apartment,1035,1,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.267838,-110.718213,Long Term,Apartment,1005,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.267838,-110.718213,Long Term,Apartment,1130,2,1,772,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.267838,-110.718213,Long Term,Apartment,855,0,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.2636987,-110.7242674,Long Term,Apartment,1205,2,1,739,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.2636987,-110.7242674,Long Term,Apartment,1155,2,1,739,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.2636987,-110.7242674,Long Term,Apartment,1030,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.264637,-110.723401,Long Term,Apartment,1255,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.265641,-110.719243,Long Term,Apartment,1130,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.265641,-110.719243,Long Term,Apartment,855,0,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.265641,-110.719243,Long Term,Apartment,1005,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.267671,-110.72651,Long Term,Apartment,1130,2,1,739,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.267694,-110.7248041,Long Term,Apartment,1155,2,1,733,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.265991,-110.749155,Long Term,Apartment,930,0,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.259881,-110.722482,Long Term,Apartment,1612,1,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.259881,-110.722482,Long Term,Apartment,1650,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.259881,-110.722482,Long Term,Apartment,1155,2,1,0,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.2599,-110.720814,Long Term,Apartment,1120,2,1,830,Unfurnished,2025-02-21,Non-Smoking,True,True
Bonnyville,Alberta,54.269904485148,-110.71296755505,Long Term,Apartment,1395,2,2,948,Unfurnished,2025-06-30,Non-Smoking,False,False
Bonnyville,Alberta,54.269904485148,-110.71296755505,Long Term,Apartment,1595,3,2,1267,Unfurnished,2025-06-30,Non-Smoking,False,False
Bowden,Alberta,51.9325356,-114.0285982,Long Term,Basement,1000,1,1,739,Unfurnished,2025-02-21,Non-Smoking,False,False
Brooks,Alberta,50.5721888,-111.8970559,Long Term,Apartment,1780,2,1,779,Unfurnished,2025-02-21,Non-Smoking,True,True
